batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
splits_window_25_code_with_problems/chars_bin=0,parser,4,0.4669,0.4901,0.4764,0.4556,0.1985,0.9204,0.3751,0.5330,0.3633
splits_window_25_code_with_problems/chars_bin=1,parser,4,0.4430,0.4572,0.4493,0.4206,0.0530,0.8970,0.5652,0.6934,0.5307
splits_window_25_code_with_problems/comments_bin=0,parser,4,0.4858,0.5052,0.4934,0.4689,0.1947,0.9135,0.4328,0.5874,0.4158
splits_window_25_code_with_problems/comments_bin=1,parser,4,0.4242,0.4423,0.4323,0.4074,0.0568,0.9001,0.5074,0.6490,0.4803
splits_window_25_code_with_problems/length_lines_bin=0,parser,4,0.5059,0.5286,0.5150,0.4916,0.2099,0.9216,0.4112,0.5687,0.3973
splits_window_25_code_with_problems/length_lines_bin=1,parser,4,0.4043,0.4190,0.4109,0.3848,0.0417,0.8946,0.5290,0.6649,0.4980
splits_window_25_code_with_problems/chars_bin=0,parser,3,0.4576,0.4913,0.4719,0.4482,0.1794,0.9005,0.3762,0.5307,0.3612
splits_window_25_code_with_problems/chars_bin=1,parser,3,0.4390,0.4606,0.4487,0.4195,0.0455,0.8880,0.5689,0.6935,0.5308
splits_window_25_code_with_problems/comments_bin=0,parser,3,0.4775,0.5069,0.4898,0.4627,0.1679,0.8961,0.4345,0.5853,0.4137
splits_window_25_code_with_problems/comments_bin=1,parser,3,0.4194,0.4451,0.4309,0.4051,0.0568,0.8903,0.5105,0.6489,0.4803
splits_window_25_code_with_problems/length_lines_bin=0,parser,3,0.4962,0.5308,0.5109,0.4847,0.1870,0.9024,0.4132,0.5669,0.3955
splits_window_25_code_with_problems/length_lines_bin=1,parser,3,0.4007,0.4214,0.4100,0.3833,0.0379,0.8858,0.5319,0.6647,0.4977
