index,exercise_name,length_lines,comment_lines,length_chars,length_lines_bin,comments_bin,chars_bin
51,ae_adl_strings,8,2,196,0,0,0
52,ae_adl_lists1,10,2,250,0,0,0
53,ae_adl_lists2,6,2,153,0,0,0
54,ae_adl_lists3,10,2,250,0,0,0
55,ae_adl_format1,5,2,130,0,0,0
56,ae_adl_format2,4,2,112,0,0,0
57,ae_adl_findmax,8,2,203,0,0,0
58,ae_adl_functions1,6,2,140,0,0,0
59,ae_adl_returnvalue,8,2,254,0,0,0
60,ae_adl_functions2,7,2,179,0,0,0
61,ae_adl_functions3,9,2,304,0,0,0
62,ae_adl_recursion,8,2,188,0,0,0
63,ae_adl_dict1,21,2,548,1,0,1
64,ae_adl_dict2,10,2,246,0,0,0
65,ae_adl_dict3,17,2,374,1,0,1
66,ae_adl_objects1,10,2,194,0,0,0
67,ae_adl_objects2,26,2,666,1,0,1
68,py_concat_str_num,9,5,358,0,1,0
69,py_concat_str_num2,9,5,320,0,1,0
70,py_concat_string_num3,9,5,349,0,1,0
71,py_time_conversion,11,6,576,0,1,1
72,py_display_time2,13,6,584,1,1,1
73,py_bmi_calculator,12,6,788,0,1,1
74,py_bmi_calculator2,14,7,915,1,1,1
75,py_pythagorean_theorem,16,8,888,1,1,1
76,py_pythagorean_theorem2,16,8,1120,1,1,1
77,py_f_to_c_conversion,13,6,675,1,1,1
78,py_fahrenheit_to_celsius,13,6,696,1,1,1
79,py_vending_machine,22,9,1337,1,1,1
80,py_vending_machine2,28,10,1640,1,1,1
81,py_nested_if_min_max,23,6,673,1,1,1
82,py_nested_if_max_of_three,23,6,677,1,1,1
83,py_nested_if_temperature,16,5,730,1,1,1
84,py_nested_if_temperature2,27,7,1556,1,1,1
85,py_if_else_grade,19,6,586,1,1,1
86,py_ifelseif_grade2,16,5,841,1,1,1
87,q_py_topic_dictionary:q_py_dict_access1,6,2,159,0,0,0
88,q_py_topic_dictionary:q_py_dict_access2,7,2,238,0,0,0
89,q_py_topic_exceptions:q_py_exception_assertion,15,2,408,1,0,1
90,q_py_topic_exceptions:q_py_exceptions_addarr,14,2,403,1,0,1
91,q_py_topic_exceptions:q_py_list_except1,12,2,240,0,0,0
92,q_py_topic_exceptions:q_py_value_except1,9,2,265,0,0,0
93,q_py_topic_file_processing:q_py_file1,5,2,133,0,0,0
94,q_py_topic_functions:q_py_fun_car1,8,2,216,0,0,0
95,q_py_topic_functions:q_py_fun_car2,16,2,408,1,0,1
96,q_py_topic_if_statement:q_py_if_elif1,9,2,204,0,0,0
97,q_py_topic_if_statement:q_py_nested_if1,13,2,227,1,0,0
98,q_py_topic_if_statement:q_py_nested_if_elif1,13,2,327,1,0,0
99,q_py_topic_if_statement:q_py_nested_if_elif2,20,2,592,1,0,1
100,q_py_topic_lists:q_py_add_two_lists1,8,2,160,0,0,0
101,q_py_topic_lists:q_py_list_access1,5,2,129,0,0,0
102,q_py_topic_lists:q_py_list_access2,6,2,168,0,0,0
103,q_py_topic_lists:q_py_list_append1,8,2,190,0,0,0
104,q_py_topic_lists:q_py_list_remove1,7,2,130,0,0,0
105,q_py_topic_logical_operators:q_py_account_logic1,9,2,267,0,0,0
106,q_py_topic_logical_operators:q_py_comparison_logic1,6,2,163,0,0,0
107,q_py_topic_loops:q_py_for_loop1,5,2,112,0,0,0
108,q_py_topic_loops:q_py_nested_while1,9,2,167,0,0,0
109,q_py_topic_loops:q_py_while_loop1,6,2,116,0,0,0
110,q_py_topic_loops:q_py_while_loop2,13,2,177,1,0,0
111,q_py_topic_output_formatting:q_py_output1,3,2,119,0,0,0
112,q_py_topic_output_formatting:q_py_output2,3,2,136,0,0,0
113,q_py_topic_output_formatting:q_py_output3,7,2,167,0,0,0
114,q_py_topic_output_formatting:q_py_output4,3,2,150,0,0,0
115,q_py_topic_references:q_py_int_ref1,13,2,271,1,0,0
116,q_py_topic_references:q_py_list_int_ref1,11,2,253,0,0,0
117,q_py_topic_references:q_py_list_str_ref1,13,2,366,1,0,0
118,q_py_topic_references:q_py_str_ref1,13,2,366,1,0,0
119,q_py_topic_strings:q_py_concat_strings1,9,2,167,0,0,0
120,ae_adl_objects3,21,2,510,1,0,1
121,ae_python_intro,4,2,94,0,0,0
122,ae_python_assignment,6,2,131,0,0,0
123,ae_python_input,4,2,119,0,0,0
124,ae_python_float,5,2,155,0,0,0
125,ae_python_if,9,2,214,0,0,0
126,ae_python_while,9,2,242,0,0,0
127,ae_python_for,6,2,156,0,0,0
128,ae_python_function,13,2,327,1,0,0
129,ae_python_list,19,2,376,1,0,1
130,ae_python_split,18,2,428,1,0,1
131,ae_python_file,12,2,265,0,0,0
132,ae_python_class1,10,2,237,0,0,0
133,ae_python_class2,26,2,762,1,0,1
134,ae_adl_vals_refs1,11,2,241,0,0,0
135,ae_adl_vals_refs2,10,2,184,0,0,0
136,ae_adl_vals_refs3,10,2,198,0,0,0
137,ae_adl_tryexcept1,10,2,191,0,0,0
138,ae_adl_tryexcept2,12,2,244,0,0,0
139,ae_adl_file1,13,2,287,1,0,0
140,ae_adl_file2,13,2,305,1,0,0
141,q_py_topic_strings:q_py_substring1,6,2,133,0,0,0
142,q_py_topic_two_dimensional_array:q_py_2d_arrays1,9,2,213,0,0,0
143,q_py_topic_two_dimensional_array:q_py_2d_arrays2,9,2,271,0,0,0
144,q_py_topic_two_dimensional_array:q_py_2d_arrays3,11,2,322,0,0,0
145,q_py_topic_two_dimensional_array:q_py_2d_arrays4,11,2,265,0,0,0
146,q_py_topic_variables:q_py_arithmetic1,5,2,148,0,0,0
147,q_py_topic_variables:q_py_arithmetic2,4,2,104,0,0,0
148,q_py_topic_variables:q_py_exchange1,7,2,186,0,0,0
149,q_py_topic_variables:q_py_exchange2,7,2,191,0,0,0
150,q_py_topic_variables:q_py_swap1,9,2,215,0,0,0
151,q_topic_classes_objects:q_py_inheritance_animal1,25,2,561,1,0,1
152,q_topic_classes_objects:q_py_obj_account1,21,2,613,1,0,1
153,q_topic_classes_objects:q_py_obj_bus1,31,2,1016,1,0,1
154,q_topic_classes_objects:q_py_obj_car1,23,2,645,1,0,1
155,q_topic_classes_objects:q_py_obj_car2,29,2,806,1,0,1
156,q_topic_classes_objects:q_py_obj_point1,23,2,486,1,0,1
157,q_topic_classes_objects:q_py_obj_student1,26,3,890,1,0,1
158,py_if_else_wage,16,7,924,1,1,1
159,py_if_else_wage2,25,8,1704,1,1,1
160,py_check_adjacent,13,5,683,1,1,1
161,py_adjacent_consecutive,13,5,844,1,1,1
162,py_adjacent_greater,13,5,891,1,1,1
163,py_win_percentage,15,7,987,1,1,1
164,py_win_percentage_input,20,8,1450,1,1,1
165,py_win_percentage_won_equal,22,9,1540,1,1,1
166,py_find_average,22,7,990,1,1,1
167,py_average_even_nums,23,7,1103,1,1,1
168,py_average_float,22,7,1019,1,1,1
169,py_list2d_basic,12,6,579,0,1,1
170,py_list2d_basic2,12,6,548,0,1,1
171,py_list2d_basic3,11,6,554,0,1,1
172,py_list_basic,9,6,349,0,1,0
173,py_list_basic2,9,6,387,0,1,1
174,py_list_basic3,9,6,362,0,1,0
175,py_list_change,11,7,374,0,1,1
176,py_list_swap_adjacent_elements,13,7,663,1,1,1
177,py_list_fill,10,6,318,0,1,0
178,py_list_fill_user_input,10,6,354,0,1,0
179,py_list_min_max,14,8,653,1,1,1
180,py_list_min,14,8,649,1,1,1
181,py_list_rotate,17,8,909,1,1,1
182,py_list_rotate_left_twice,19,8,1075,1,1,1
183,py_list_rotate_right,17,8,950,1,1,1
184,py_list_rotate_right_twice,19,8,1132,1,1,1
185,py_print_medals,31,15,2159,1,1,1
186,py_print_medals_row_column_total,42,20,2580,1,1,1
187,py_list_process_elements,15,8,659,1,1,1
188,py_average_list_elements,19,8,873,1,1,1
189,py_search_list,14,7,624,1,1,1
190,py_search_list_total_count,18,8,1140,1,1,1
191,py_search_list_count_each,19,9,1278,1,1,1
192,py_soda_survey,23,9,1522,1,1,1
193,py_soda_survey_soda_avg,22,9,1498,1,1,1
194,py_soda_survey_soda_respondent_avg,30,13,1955,1,1,1
195,py_temperature,26,8,1019,1,1,1
196,py_temperature_list_days_above_threshold,17,7,920,1,1,1
197,py_digits,13,8,521,1,1,1
198,py_sum_digits,16,8,655,1,1,1
199,py_reverse_number,16,8,685,1,1,1
200,py_work_hours,34,14,1522,1,1,1
201,py_work_hours2,39,15,1779,1,1,1
202,py_check_product_code,26,10,1535,1,1,1
203,py_check_product_code2,29,10,1917,1,1,1
204,py_concat_char_two_str,8,5,542,0,1,1
205,py_concat_char_two_str2,10,5,650,0,1,1
206,py_str_repeat_chars,15,9,746,1,1,1
207,py_str_repeat,15,9,809,1,1,1
208,py_str_count,16,9,716,1,1,1
209,py_str_count2,16,9,862,1,1,1
210,py_if_else_num,13,5,450,1,1,1
211,py_ifelse_odd_even,11,5,368,0,1,0
212,py_range_one,7,5,300,0,1,0
213,py_range1_2,7,5,297,0,1,0
214,py_range_three,7,5,327,0,1,0
215,py_range3_2,7,5,324,0,1,0
216,py_range_two,7,5,303,0,1,0
217,py_range2_2,7,5,302,0,1,0
218,py_squares,7,5,344,0,1,0
219,py_write_squares_odd,7,5,341,0,1,0
220,py_write_squares_range,7,5,353,0,1,0
221,py_repeated_sequence,10,6,503,0,1,1
222,py_repeated_sequence2,10,6,507,0,1,1
223,py_star_patterns,19,13,809,1,1,1
224,py_stars_2,18,12,867,1,1,1
225,py_divisor,10,5,447,0,1,1
226,py_largest_divisor,10,5,471,0,1,1
227,py_input,12,5,621,0,1,1
228,py_input2,12,5,707,0,1,1
229,py_input3,12,5,699,0,1,1
230,py_input4,12,5,667,0,1,1
231,ps_hello,5,3,166,0,0,0
232,ps_simple_function,6,3,178,0,0,0
233,ps_simple_params,7,4,182,0,1,0
234,ps_return_bigger_or_none,10,3,322,0,0,0
235,ps_python_addition,7,3,183,0,0,0
236,ps_python_iteration_addition,7,3,172,0,0,0
237,ps_python_iteration_multiplication,8,3,253,0,0,0
238,ps_python_calculate_function,7,3,343,0,0,0
239,ps_python_nested_calls,9,3,418,0,0,1
240,ps_python_recursive_factorial,8,3,253,0,0,0
241,ps_python_class_person,10,3,371,0,0,0
242,ps_python_modulo_is_even,8,3,264,0,0,0
243,ps_python_list_iteration_zoo,6,3,227,0,0,0
244,ps_python_nested_lists_indexing,7,3,280,0,0,0
245,ps_python_string_indexing,8,3,238,0,0,0
246,ps_python_dict_keys,7,3,358,0,0,0
247,ps_python_dict_values,7,3,333,0,0,0
248,ps_python_list_to_dict,7,3,260,0,0,0
249,ps_python_dict_filter,7,3,304,0,0,0
250,ps_python_bigger_than,4,3,279,0,0,0
251,ps_python_conditionals_temperature,10,3,452,0,0,1
252,ps_python_printing_file_contents,12,3,429,0,0,1
253,ps_python_try_except,11,3,442,0,0,1
254,ps_python_nested_ifs,13,3,517,1,0,1
255,ps_python_comparisons,5,3,190,0,0,0
256,ps_python_add_to_list,6,3,245,0,0,0
257,ps_python_swap,6,3,157,0,0,0
258,ps_python_xor,9,3,337,0,0,0
259,ps_python_for_odd_or_even,8,3,283,0,0,0
260,ps_python_string_join,6,3,255,0,0,0
261,ps_python_try_adding,8,3,286,0,0,0
262,ps_python_class_point,12,3,471,0,0,1
263,ps_python_2d_list,12,3,327,0,0,0
264,ps_python_nested_loops,13,3,325,1,0,0
