batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
splits_window_5_code_with_problems/length_lines_bin=0,parser,3,0.8306,0.9740,0.8917,0.8122,0.1189,0.8146,0.9740,0.8872,0.7973
splits_window_5_code_with_problems/length_lines_bin=1,parser,3,0.8188,0.9392,0.8732,0.8022,0.0583,0.8211,0.9619,0.8860,0.7953
splits_window_5_code_with_problems/chars_bin=0,parser,4,0.8803,0.9741,0.9210,0.8602,0.2197,0.8620,0.9742,0.9147,0.8428
splits_window_5_code_with_problems/chars_bin=1,parser,4,0.8518,0.9335,0.8893,0.8267,0.0840,0.8506,0.9555,0.9000,0.8182
splits_window_5_code_with_problems/comments_bin=0,parser,4,0.8771,0.9656,0.9157,0.8511,0.1884,0.8589,0.9649,0.9088,0.8329
splits_window_5_code_with_problems/comments_bin=1,parser,4,0.8540,0.9409,0.8936,0.8352,0.1120,0.8519,0.9610,0.9032,0.8234
splits_window_5_code_with_problems/length_lines_bin=0,parser,4,0.8871,0.9698,0.9230,0.8631,0.2098,0.8721,0.9693,0.9181,0.8486
splits_window_5_code_with_problems/length_lines_bin=1,parser,4,0.8411,0.9348,0.8840,0.8202,0.0833,0.8425,0.9579,0.8965,0.8124
splits_window_5_code_with_problems/chars_bin=0,parser,5,0.9121,0.9014,0.9032,0.8320,0.1894,0.9010,0.9043,0.9027,0.8226
splits_window_5_code_with_problems/chars_bin=1,parser,5,0.8819,0.8838,0.8803,0.8126,0.0458,0.8837,0.9071,0.8952,0.8103
splits_window_5_code_with_problems/comments_bin=0,parser,5,0.9135,0.9001,0.9033,0.8320,0.1739,0.9011,0.9023,0.9017,0.8210
splits_window_5_code_with_problems/comments_bin=1,parser,5,0.8790,0.8844,0.8791,0.8118,0.0560,0.8815,0.9092,0.8951,0.8102
splits_window_5_code_with_problems/length_lines_bin=0,parser,5,0.9137,0.8958,0.9008,0.8278,0.1748,0.9032,0.8972,0.9002,0.8185
splits_window_5_code_with_problems/length_lines_bin=1,parser,5,0.8773,0.8888,0.8811,0.8158,0.0500,0.8810,0.9127,0.8966,0.8126
